timestamp,dateTimeISO,tempC,feelslikeC,dewpointC,humidity,pressureMB,spressureMB,altimeterMB,windSpeedKPH,windDirDEG,windDir,windGustKPH,heatindexC,windchillC,precipMM,solradWM2,weatherPrimary,weatherPrimaryCoded,cloudsCoded,uvi,QCcode
1763833380,2025-11-22T12:43:00-05:00,,,,,,1007.7,1010.7,,,,,,,0,106,Cloudy,::OV,OV,,10
1763833680,2025-11-22T12:48:00-05:00,9.8,9.8,7.4,85,1010.7,1007.7,1010.7,3.2,0,N,3.2,9.8,9.8,0,182,Cloudy,::OV,OV,0.88,10
1763833980,2025-11-22T12:53:00-05:00,9.9,9.8,7.3,84,1010.9,1007.8,1010.8,4.3,108,ESE,4.3,9.9,9.8,0,469,Cloudy,::OV,OV,2.28,10
1763834280,2025-11-22T12:58:00-05:00,10.1,10.1,7.2,82,1010.9,1007.9,1010.9,1.4,9,N,1.4,10.1,10.1,0,524,Cloudy,::OV,OV,2.55,10
1763834580,2025-11-22T13:03:00-05:00,10.2,10.2,7.1,81,1010.9,1007.9,1010.9,1.8,335,NNW,1.8,10.2,10.2,0,191,Cloudy,::OV,OV,0.93,10
1763834880,2025-11-22T13:08:00-05:00,10.1,10.1,7,81,1010.8,1007.8,1010.8,2.5,15,NNE,2.5,10.1,10.1,0,157,Cloudy,::OV,OV,0.77,10
1763835180,2025-11-22T13:13:00-05:00,10,10,7.1,82,1010.8,1007.8,1010.8,2.5,168,SSE,2.5,10,10,0,151,Cloudy,::OV,OV,0.73,10
1763835480,2025-11-22T13:18:00-05:00,9.9,9.8,6.4,79,1010.9,1007.8,1010.8,4.3,24,NNE,4.3,9.9,9.8,0,138,Cloudy,::OV,OV,0.68,10
1763835780,2025-11-22T13:23:00-05:00,9.7,9.2,6.6,81,1010.9,1007.8,1010.8,5.8,55,NE,5.8,9.7,9.2,0,139,Mostly Cloudy,::BK,BK,0.68,10
1763836080,2025-11-22T13:28:00-05:00,9.6,9.6,6.5,81,1010.8,1007.7,1010.7,3.2,183,S,3.2,9.6,9.6,0,99,Mostly Cloudy,::BK,BK,0.48,10
1763836380,2025-11-22T13:33:00-05:00,9.6,9.1,6.5,81,1010.8,1007.7,1010.7,5.8,83,E,5.8,9.6,9.1,0,75,Mostly Cloudy,::BK,BK,0.37,10
1763836680,2025-11-22T13:38:00-05:00,9.6,9.3,6.5,81,1010.7,1007.6,1010.6,5,61,ENE,5,9.6,9.3,0,227,Mostly Cloudy,::BK,BK,,10
1763836980,2025-11-22T13:43:00-05:00,9.5,8.9,6.6,82,1010.5,1007.5,1010.5,5.8,68,ENE,5.8,9.5,8.9,0,105,Mostly Cloudy,::BK,BK,0.51,10
1763837280,2025-11-22T13:48:00-05:00,9.6,9.6,6.5,81,1010.5,1007.5,1010.5,2.9,8,N,2.9,9.6,9.6,0,135,Mostly Cloudy,::BK,BK,0.65,10
1763837580,2025-11-22T13:53:00-05:00,9.6,8.8,6.7,82,1010.5,1007.5,1010.5,6.8,80,E,6.8,9.6,8.8,0,159,Mostly Cloudy,::BK,BK,0.77,10
